timestamp(ms),VFR_HUD.airspeed,VFR_HUD.groundspeed,ATTITUDE.pitchspeed,ATTITUDE.yawspeed
36709.37945984601,3.991748571395874,2.9648799896240234,0.021425431594252586,0.031263891607522964
36809.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
36909.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37009.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37109.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37209.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37309.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37409.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37509.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37609.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37709.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37809.37945984601,3.9948408603668213,2.8852803707122803,0.016322236508131027,0.07399064302444458
37909.37945984601,3.9950714111328125,2.7962887287139893,0.018367819488048553,0.09265924245119095
38009.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38109.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38209.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38309.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38409.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38509.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38609.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38709.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38809.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
38909.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
39009.37945984601,3.9951140880584717,2.748072624206543,-0.38596615195274353,0.1912742555141449
39109.37945984601,3.995117664337158,4.425755500793457,-0.0353168323636055,0.31776365637779236
39209.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
39309.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
39409.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
39509.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
39609.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
39709.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
39809.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
39909.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
40009.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
40109.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
40209.37945984601,5.142664909362793,6.515499114990234,0.14516085386276245,0.239349827170372
40309.37945984601,10.085408210754395,11.559409141540527,0.09366603195667267,0.051726583391427994
