timestamp(ms),VFR_HUD.groundspeed,ATTITUDE.roll,ATTITUDE.pitch,ATTITUDE.rollspeed,ATTITUDE.pitchspeed
93.9140625,0.004131900612264872,0.024432919919490814,-0.06677423417568207,-0.00007765943882986903,0.00039723151712678373
193.9140625,0.004131900612264872,0.024432919919490814,-0.06677423417568207,-0.00007765943882986903,0.00039723151712678373
293.9140625,0.003885632613673806,0.024499714374542236,-0.06680774688720703,-0.00031902495538815856,0.0009426443139091134
393.9140625,0.003885632613673806,0.024499714374542236,-0.06680774688720703,-0.00031902495538815856,0.0009426443139091134
493.9140625,0.003885632613673806,0.024499714374542236,-0.06680774688720703,-0.00031902495538815856,0.0009426443139091134
593.9140625,0.004062867723405361,0.02459442801773548,-0.06678697466850281,-0.00035960684181191027,0.0007776913698762655
693.9140625,0.004062867723405361,0.02459442801773548,-0.06678697466850281,-0.00035960684181191027,0.0007776913698762655
793.9140625,0.005814795847982168,0.024604300037026405,-0.06681925803422928,0.0009310781606473029,0.0001488546549808234
893.9140625,0.005814795847982168,0.024604300037026405,-0.06681925803422928,0.0009310781606473029,0.0001488546549808234
993.9140625,0.005814795847982168,0.024604300037026405,-0.06681925803422928,0.0009310781606473029,0.0001488546549808234
1093.9140625,0.00726589560508728,0.024554239585995674,-0.06680085510015488,-0.0012948911171406507,0.0005916916416026652
1193.9140625,0.00726589560508728,0.024554239585995674,-0.06680085510015488,-0.0012948911171406507,0.0005916916416026652
1293.9140625,0.007121100090444088,0.024455206468701363,-0.06675367802381516,-0.0002949220361188054,0.00006789769395254552
1393.9140625,0.007121100090444088,0.024455206468701363,-0.06675367802381516,-0.0002949220361188054,0.00006789769395254552
1493.9140625,0.007121100090444088,0.024455206468701363,-0.06675367802381516,-0.0002949220361188054,0.00006789769395254552
1593.9140625,0.005094386171549559,0.02438683621585369,-0.06667878478765488,-0.0007184879505075514,-0.0002612241078168154
1693.9140625,0.005094386171549559,0.02438683621585369,-0.06667878478765488,-0.0007184879505075514,-0.0002612241078168154
1793.9140625,0.003625639947131276,0.0243702195584774,-0.06659962236881256,-0.00020929949823766947,0.0020659195724874735
1893.9140625,0.003625639947131276,0.0243702195584774,-0.06659962236881256,-0.00020929949823766947,0.0020659195724874735
1993.9140625,0.003625639947131276,0.0243702195584774,-0.06659962236881256,-0.00020929949823766947,0.0020659195724874735
2093.9140625,0.004218743182718754,0.024391399696469307,-0.0665426179766655,0.0006535064312629402,0.0012454553507268429
2193.9140625,0.004218743182718754,0.024391399696469307,-0.0665426179766655,0.0006535064312629402,0.0012454553507268429
2293.9140625,0.004753064829856157,0.024444464594125748,-0.06659988313913345,-0.0002738690236583352,0.0003397768596187234
2393.9140625,0.004753064829856157,0.024444464594125748,-0.06659988313913345,-0.0002738690236583352,0.0003397768596187234
2493.9140625,0.004753064829856157,0.024444464594125748,-0.06659988313913345,-0.0002738690236583352,0.0003397768596187234
2593.9140625,0.005686142947524786,0.024439288303256035,-0.06659756600856781,-0.000018229125998914242,-0.0006876662955619395
2693.9140625,0.005686142947524786,0.024439288303256035,-0.06659756600856781,-0.000018229125998914242,-0.0006876662955619395
2793.9140625,0.004458673298358917,0.02439168468117714,-0.06658461689949036,-0.00030247020185925066,0.00011617114068940282
2893.9140625,0.004458673298358917,0.02439168468117714,-0.06658461689949036,-0.00030247020185925066,0.00011617114068940282
2993.9140625,0.004458673298358917,0.02439168468117714,-0.06658461689949036,-0.00030247020185925066,0.00011617114068940282
3093.9140625,0.004489337094128132,0.024363957345485687,-0.06654553860425949,0.0001380379544571042,0.00035658059641718864
3193.9140625,0.004489337094128132,0.024363957345485687,-0.06654553860425949,0.0001380379544571042,0.00035658059641718864
3293.9140625,0.0047747306525707245,0.02423126809298992,-0.06646855920553207,-0.00032379411277361214,0.0009845354361459613
3393.9140625,0.0047747306525707245,0.02423126809298992,-0.06646855920553207,-0.00032379411277361214,0.0009845354361459613
3493.9140625,0.0047747306525707245,0.02423126809298992,-0.06646855920553207,-0.00032379411277361214,0.0009845354361459613
3593.9140625,0.00587063655257225,0.024227259680628777,-0.0663972944021225,-0.0015253424644470215,0.00015492000966332853
3693.9140625,0.00587063655257225,0.024227259680628777,-0.0663972944021225,-0.0015253424644470215,0.00015492000966332853
3793.9140625,0.006781289819628,0.024218248203396797,-0.06637340784072876,-0.000225836003664881,0.0002824582625180483
3893.9140625,0.006781289819628,0.024218248203396797,-0.06637340784072876,-0.000225836003664881,0.0002824582625180483
3993.9140625,0.006781289819628,0.024218248203396797,-0.06637340784072876,-0.000225836003664881,0.0002824582625180483
4093.9140625,0.00798093993216753,0.02417030930519104,-0.06628962606191635,-0.0007435638108290732,-0.0005612794775515795
4193.9140625,0.00798093993216753,0.02417030930519104,-0.06628962606191635,-0.0007435638108290732,-0.0005612794775515795
4293.9140625,0.008111205883324146,0.024190861731767654,-0.06632862240076065,-0.00021065957844257355,-0.00021483446471393108
4393.9140625,0.008111205883324146,0.024190861731767654,-0.06632862240076065,-0.00021065957844257355,-0.00021483446471393108
4493.9140625,0.008111205883324146,0.024190861731767654,-0.06632862240076065,-0.00021065957844257355,-0.00021483446471393108
4593.9140625,0.008447637781500816,0.024006670340895653,-0.06635749340057373,0.0007831771508790553,-0.00029272970277816057
4693.9140625,0.008447637781500816,0.024006670340895653,-0.06635749340057373,0.0007831771508790553,-0.00029272970277816057
4793.9140625,0.00884115882217884,0.023877523839473724,-0.06628987938165665,0.0004517437191680074,-0.0004354165284894407
